English	French
you cannot keep this a secret	tu ne peux pas le garder secret
you never cease to amaze me	tu ne cesses de m épater
i have a fear of the dark	je ai peur de l obscurité
i cannot do it alone i need your help	je ne peux le faire seul je ai besoin de ton aide
thanks to this book i learned some interesting facts about this insect	grâce à ce livre je ai appris des choses intéressantes sur cet insecte
the door was locked	la porte était verrouillée
the salesgirl could not open the cash register	la vendeuse n arrivait pas à ouvrir la caisse enregistreuse
why would you want to do that	pourquoi voudrais tu faire ça
they have no natural predators	ils n ont aucun prédateur naturel
he is not young anymore	il ne est plus tout jeune
could you do this instead of me	pourrais tu faire ceci à ma place
i think he is too young	je pense qu il est trop jeune
we never voted	nous n avons jamais voté
her cheeks were red	ses joues étaient rouges
they really wanted to know what happened	ils voulaient vraiment savoir ce qui s était passé
that chicken has not laid any eggs lately	cette poule n a pas pondu d œufs récemment
tom is not overweight	tom ne est pas en surpoids
i have lost my wallet	je ai perdu mon portefeuille
i have got to do something first	il me faut faire quelque chose auparavant
they moved in just the other day	ils ont emménagé juste l autre jour
that s not what i was doing	ce ne est pas ce que j étais en train de faire
that book is familiar to all young children	tous les petits enfants connaissent ce livre
tom unwrapped his sandwich	tom déballa son sandwich
he was shown the photo by her	elle lui a montré la photo
i do not see how you can ignore this	je ne vois pas comment vous pouvez ignorer ça
why are we still fighting	pourquoi nous battons nous encore
she writes with her left hand	elle écrit de la main gauche
we wish you luck	nous vous souhaitons bonne chance
the net is huge	le filet est énorme
perhaps he knows this story	peut être connaît il cette histoire
he invited me to his house	il m a invitée chez lui
how often do you shave	à quelle fréquence te rases tu
he made a mistake and drank poison	il s est trompé et a bu du poison
i just followed the recipe	je m en suis tenu à la recette
he made it	il a réussi
the book is easy	le livre est facile
please write down your name address and phone number here	veuillez inscrire ici vos nom adresse et numéro de téléphone
i really appreciate you picking me up	j apprécie vraiment que tu me prennes
sorry but i have to hurry i have no time to explain this in detail	désolé mais je dois me dépêcher je n ai pas le temps de rentrer dans les détails
tom never told me he was married	tom ne m a jamais dit qu il était marié
i do not think you did this by yourself	je ne pense pas que vous ayez fait ceci par vous mêmes
i am going crazy	je deviens fou
he had his car stolen in broad daylight	sa voiture a été dérobée en plein jour
this has all been a mistake	tout ça était une erreur
is there a flower shop in the hotel	y a t il un fleuriste dans l hôtel
i often go fishing in that river	je vais souvent pêcher dans ce fleuve
i was not the only one to do so	je n étais pas le seul à le faire
i ordered the children to stay quiet but they kept on making noise	je ai enjoint aux enfants de se tenir tranquilles mais ils ont continué à faire du bruit
beer bottles are made of glass	les bouteilles de bières sont faites en verre
tom spoke to the doctors in french	tom parla aux médecins en français
it was a real challenge for us to go down the cliff on a rope	c était pour nous toute une aventure de descendre la falaise en rappel
do not kill the goose that lays the golden eggs	ne tuez pas la poule aux œufs d or
tom could not find a job	tom ne pouvait pas trouver de travail
you d better start now	tu ferais mieux de commencer maintenant
someone is knocking on the door	quelqu un frappe à la porte
we should hang out sometime	nous devrions sortir ensemble un de ces quatre
the king went hunting this morning	le roi est allé chasser ce matin
where s there a supermarket around here	où peut on trouver un supermarché dans les environs
i tried to make the best of it	je ai essayé d en tirer le meilleur parti
salt was a rare and costly commodity in ancient times	le sel était une denrée rare et chère dans les temps anciens
i made this doghouse by myself	je ai moi même construit cette niche
it does not work does it	cela ne marche pas ne est ce pas
he makes no half hearted attempts	il met toute son énergie dans ses tentatives
the murderer is still at large	le meurtrier court toujours
the apollo program greatly advanced our knowledge of space	le programme apollo a avancé grandement nos connaissances sur l espace
has he arrived yet	est il déjà arrivé
he wishes he had gone to the theater last night	il aurait souhaité aller au théâtre hier soir
i have to talk to somebody	il me faut discuter avec quelqu un
if you turn on me like that i will not say another word	si tu t en prends à moi comme ça je ne dirais plus rien
he went out in the rain	il est sorti sous la pluie
my opinion is entirely different from yours	mon opinion est entièrement différente de la vôtre
what do you want to do today	que veux tu faire aujourd hui
you have suffered enough	vous avez assez souffert
how did the railway accident at tokyo station happen	comment l accident de chemin de fer à la gare de tokyo est il survenu
he made me sing	il m a fait chanter
i regret having told you	je regrette de te l avoir dit
get up early or you will be late	lève toi tôt sinon tu seras en retard
they are exhausted	elles sont crevées
your driver s license has expired	ton permis de conduire a expiré
i am not above begging in order to get the job	j irais jusqu à mendier afin d obtenir ce poste
she perused a magazine while waiting for her date to show up	elle consulta un magazine en attendant que son rendez vous se montre
he denied the accusation	il nia l accusation
this is against the law	ce est contraire à la loi
i have to know why	je dois savoir pourquoi
that is our baseball field	ce est notre terrain de baseball
what ll it be like	à quoi cela ressemblera t il
i have got something better in mind	je ai quelque chose de meilleur en tête
do not open the door for anybody	n ouvrez la porte à personne
i just did it	je viens de le faire
he took off his glasses	il retira ses lunettes
it is all greek to me	ce est du chinois
words rarely have only one meaning	les mots ont rarement un seul sens
i just know that i do not want to be married to you	je sais tout simplement que je ne veux pas être mariée avec vous
is there life on mars	y a t il de la vie sur mars
you will not be the first	vous ne serez pas le premier
you are not dead yet	tu n es pas encore morte
do not you see what you have become	ne voyez vous pas ce que vous êtes devenu
i do not have a dog	je n ai pas de chien
a few were drunk most of the time	quelques uns étaient soûls la plupart du temps
none of us like tom	aucun d entre nous n aime tom
it was only a dream	ça n a été qu un rêve
her story turned out to be true	son histoire s est avérée exacte
they adore tom	elles adorent tom
i will have her come here	je la ferai venir ici
tom is watching golf	tom est en train de regarder du golf
what are some foods you usually eat with chopsticks	quels sont les aliments que tu manges habituellement avec des baguettes
the moonlight reflected on the lake	le clair de lune se reflétait sur le lac
you sound angry	tu as l air en colère
the rumor was completely without foundation	la rumeur était complètement infondée
i think it is going to rain	je pense qu il va pleuvoir
are you deaf	êtes vous sourd
how many kids do you have	combien d enfants as tu
you can do it	ce est bon tu peux le faire
somehow or other i found his house	c était assez facile pour trouver sa maison
i owe him some money	je lui dois un peu d argent
i see you had to work late again last night	je vois que tu as à nouveau dû travailler tard hier soir
she had a good time talking with him about his trip	elle passa un agréable moment à discuter avec lui de son voyage
i will take your coat	je prendrai ton manteau
i was on patrol	j étais en patrouille
i feel bad that i have not paid you yet	je me sens mal de ne pas encore vous avoir payées
do not burst my bubble	ne crève pas ma bulle
my eyes are watering	mes yeux sont en larmes
parents are responsible for their children s education	les parents portent la responsabilité de l éducation de leurs enfants
do not you know who i am	ne savez vous pas qui je suis
he did not know what to say so he remained silent	il ne savait pas quoi dire alors il est resté silencieux
he married a local girl	il a épousé une fille du coin
i love you just as you are	je t aime exactement comme tu es
does this make me look fat	ceci me fait il paraître grosse
tom is playing with my cat	tom joue avec mon chat
my arm still hurts	mon bras me fait encore mal
i had a good time too	je ai également pris du bon temps
she flatters herself by thinking that she is beautiful	elle se flatte elle même en pensant qu elle est belle
is tom ok	est ce que tom va bien
i like to write poems	j aime écrire des poèmes
i am friends with all those guys	je suis ami avec tous ces gars là
the old man starved to death	le vieil homme mourut de faim
when does the restaurant open	quand le restaurant ouvre t il
i want to join your team	je veux me joindre à votre équipe
you will not have a choice	vous n aurez pas le choix
i will wait like the rest of you	je vais attendre comme le reste d entre vous
i will not let you do it	je ne te le laisserai pas faire
what on earth is it	que est ce que ce est que ça bon dieu
you should not have gone to visit tom alone	vous n auriez pas dû rendre visite à tom seul
we were very careful	nous avons été très prudents
what time shall i pick you up	à quelle heure dois je venir vous prendre
if you had not eaten so much you would not be so sleepy now	si tu n avais pas tant mangé tu ne serais pas maintenant si endormie
we had a lot of rain yesterday	on a eu beaucoup de pluie hier
i do not like this one	je n aime pas celui ci
were they good	étaient elles bonnes
i appreciate your kindness	j apprécie votre gentillesse
he is crazy about skiing	il est fou de ski
the policeman grabbed the robber s arm	le policier se saisit du bras du voleur
can we really learn to speak a foreign language like a native	peut on vraiment apprendre à parler une langue comme un locuteur natif
do not ever lie to me again	ne me mens jamais plus
are you excited	êtes vous énervés
she decided not to attend the meeting	elle décida de ne pas participer à la réunion
i will go on ahead	j irai en avant
that does not make sense to me	ça n a pour moi aucun sens
i am looking for my keys have you seen them	je cherche mes clés les as tu vues
i do not know where it came from	j ignore d où elle est venue
you will soon cease to think of her	bientôt tu ne penseras plus à elle
please think it over	réfléchis y s il te plaît
i expect him to help me	j attends de lui qu il m aide
call me when you get settled in	appelez moi quand vous serez installé
the tickets i bought are non refundable	les billets que je ai achetés ne sont pas remboursables
write an essay on friendship	écrivez une rédaction sur l amitié
do not think about that anymore	n y pense plus
you may go there	tu as la permission d y aller
we went to the beach	nous nous sommes rendus à la plage
she risked her life to save him	elle a risqué sa vie pour le sauver
the man is right	le type a raison
we like tom	nous aimons bien tom
tom threw something at me and i ducked	tom m a jeté quelque chose et je me suis baissé rapidement
it is my job	ce est mon emploi
tom fired mary	tom a renvoyé mary
can you deliver this	pouvez vous livrer ceci
the police chief resigned	le chef de la police a présenté sa démission
i finally gave up	je ai fini par laisser tomber
i think that s everything	je crois que ce est tout
if more people had voted we would have won the election	si plus de gens avaient voté nous aurions gagné les élections
i used to be the same age as you	je ai eu le même âge que vous
he is a gentleman he cannot have said such a thing	ce est un gentleman il ne peut avoir dit une telle chose
are you sure this is a good idea	êtes vous sûres que ce soit une bonne idée
i am fed up with this wet weather	j en ai assez de ce temps humide
i beg you to help me	je te supplie de m aider
quit wasting my time	arrête de me faire perdre mon temps
the room is too small	la chambre est trop petite
she is on the verge of a nervous breakdown	elle est au bord de la crise de nerfs
i had nothing to do with that situation	je n avais rien à faire avec cette situation
you should ask tom for advice	tu devrais demander conseil à tom
i did not know you had a boyfriend	j ignorais que tu avais un petit copain
do not be crazy	ne sois pas folle
please hold this ladder steady	s il te plaît tiens cette échelle fermement
do not you know his name	ne connaissez vous pas son nom
a drunkard is somebody you do not like and who drinks as much as you do	un alcoolique ce est quelqu un que vous n aimez pas et qui boit autant que vous
it is our fault	ce est de notre faute
i feel so stupid	je me sens si stupide
we sent out the invitations yesterday	nous avons envoyé les invitations hier
the outdoor concert was canceled due to the storm	le concert en plein air a été annulé en raison de la tempête
i am tired of reading	je suis fatigué de lire
i have a surprise for you guys	je ai une surprise pour vous
we have problems that need to be dealt with	nous avons des problèmes qui doivent être traités
i am a little sick	je suis un peu malade
tom does not remember if he locked the door	tom ne se souvient pas s il a fermé la porte
i forgot all about it	je ai tout oublié à ce sujet
we need supplies	il nous faut des provisions
if i eat too much chocolate i break out in pimples	si je mange trop de chocolat je ai une éruption de boutons
nothing ventured nothing gained	il n y a pas de profit sans risque
i am feeling dizzy	je ai la tête qui me tourne
this armchair is comfortable to sit in	ce fauteuil est confortable pour s asseoir dedans
i am not keeping this thing	je ne vais pas garder cette chose
how much did you pay for the dress	combien as tu payé pour la robe
did i hear you talking to someone	t ai je entendu parler à quelqu un
we should ve stayed with tom	nous aurions dû rester avec tom
why do not you stop worrying and get some sleep	et si tu arrêtais de te faire du souci et que tu prenais du repos
that would not be a good idea	ce ne serait pas une bonne idée
when did you get back from boston	quand êtes vous rentré de boston
tom knows that i lied to him	tom sait que je lui ai menti
are you aware of any problems	êtes vous au fait de problèmes quelconques
i thought you had it all figured out	je pensais que vous aviez tout calculé
we often talk about the weather	nous parlons souvent du temps
he comes from genoa	il vient de gênes
it is no use for him to try to find out the real reason	il lui est inutile d essayer de trouver la véritable raison
tom is a correctional officer	tom est un agent des services correctionnels
be careful not to slip	faites attention de ne pas glisser
i d never hire tom	je n embaucherais jamais tom
what did she do to you	que t a t elle fait
one must keep one s promises	il faut tenir ses promesses
i let you catch me	je t ai laissée m attraper
are you allergic to any medicine	as tu une allergie médicamenteuse
whose is this bicycle	à qui est cette bicyclette
i am driving	je suis en train de conduire
there are lots of presents underneath the christmas tree	il y a beaucoup de cadeaux sous le sapin
if there s anything urgent you can get in touch with me	en cas d urgence vous pouvez me joindre
we do not know what they want to use it for	nous ignorons à quel usage ils le destinent
no one likes losing	personne n aime perdre
how did that whole thing happen	comment tout ce truc est il survenu
it would be better for you to stay away from such a man	il vaudrait mieux pour toi de te tenir à distance d un tel homme
open your book to page ten	ouvrez votre livre en page dix
tell tom where he should go	dites à tom où il devrait aller
i promised myself i would not do this again	je me suis promis que je ne le ferais plus
i thought about what you said yesterday	je ai réfléchi à ce que tu as dit hier
are you quite certain about it	en êtes vous tout à fait certaine
this is a great business opportunity	ce est une belle opportunité de faire des affaires
i am a coward	je suis un lâche
i hope that helps	j espère que cela aide
is there anything you d like to add	avez vous quelque chose à ajouter
can you send the bellboy up	pouvez vous faire monter le groom
i am too old for you	je suis trop vieux pour toi
your bicycle is better than mine	votre vélo est meilleur que le mien
i will stand by you whatever happens	je serai à tes côtés quoi qu il arrive
i do not know if he knows it	j ignore s il le sait
tom often helps mary	tom aide souvent marie
i only did my duty	je n ai fait que mon devoir
you d better go to bed at once	tu ferais mieux d aller au lit immédiatement
how many of your students are here	combien de vos élèves sont ici
she has nothing to do with that affair	elle n a vraiment rien à voir avec cette affaire
i do not want to hear anything more about that	je ne veux rien entendre de plus à ce sujet
i have six mouths to feed	je ai six bouches à nourrir
it is pretty incredible	ce est plutôt incroyable
i love to spend time trying to put together a puzzle	j adore passer du temps à essayer d assembler les pièces d un puzzle
what kinds of goods do you sell in your shop	quelle sorte de marchandises vends tu dans ton échoppe
the woman managed the drunk as if he were a child	la femme prit en charge le poivrot comme s il était un enfant
how are we doing for time	combien de temps avons nous
they do not want us to see what they are doing	ils ne veulent pas que nous voyions ce qu ils font
i owe you nothing	je ne te dois rien
hold on a minute	attendez voir
you are very intelligent	tu es très intelligent
we are not evacuating	nous ne sommes pas en train d évacuer
that s not really enough	ce ne est pas vraiment suffisant
are you hiring	recrutes tu
keep this information under your hat	garde cette information pour toi
there is plenty of food	il y a de la nourriture en abondance
tom does not wash the dishes he leaves that up to mary	tom ne lave pas la vaisselle il laisse cela à marie
this is the important part	ce est la partie importante
i do not owe you anything	je ne vous dois rien
i will send you a postcard	je vous enverrai une carte postale
he is a lovely young man	ce est un charmant jeune homme
you look nice with your hair short	les cheveux courts vous vont bien
i only saw him once	je ne le vis qu une fois
i believe the answer is yes	je crois que la réponse est oui
that s just what i thought	ce est précisément ce que je pensais
when did you go to work	quand êtes vous allé au travail
how can you be so selfish	comment peux tu être aussi égoïste
the more i listen to her the less i like her	plus je l écoute moins je l aime
how much is the most expensive car	combien coûte la voiture la plus chère
you ought to ask for your teacher s permission	tu dois demander la permission à ton professeur
this place is really beautiful	cette place est vraiment magnifique
how far are we from the airport	a quelle distance sommes nous de l aéroport
as soon as you get the wall painted you can go home	dès que tu as fini de peindre le mur tu peux rentrer
follow your desire	suis ton désir
i have no desire to hurt you	je n ai aucun désir de te faire du mal
i had a stroke	je ai fait un avc
i think you are being a little too careful	je pense que vous êtes un peu trop prudentes
can i call you again	puis je te rappeler
he fell in love with his best friend	il tomba amoureux de son meilleur ami
i am an agent	je suis un agent
why did not you apply for the job	pourquoi n avez vous pas postuler pour le poste
this sheet is light	ce drap est léger
i have been expecting you	je vous ai attendu
when she returned to her room the diamond ring was gone	lorsqu elle retourna à sa chambre le bague de diamant avait disparu
stop screaming like a girl	arrête de hurler comme une fille
leave it closed	laisse le fermé
you are kidding	vous plaisantez
i d like you to drive	je voudrais que ce soit toi qui conduises
women seem to like him for some reason	les femmes semblent l apprécier pour une quelconque raison
i feel like i have already seen this movie	j ai l impression d avoir déjà vu ce film
do you know where my watch is	sais tu où est ma montre
he went to the library	il se rendit à la bibliothèque
we cannot all be perfect	nous ne pouvons pas tous être parfaits
i was saved as if by a miracle	je ai été sauvé comme par miracle
plants do not grow in this soil	les plantes ne poussent pas dans ce sol
i thought i told you to clean your room	je pensais t avoir dit de nettoyer ta chambre
i am glad i invited you	je suis heureuse de t avoir invité
tom does not want to eat lunch now	tom ne veut pas déjeuner maintenant
my father does not drink liquor	mon père ne boit pas de liqueur
we are all sure of that	nous en sommes tous certains
he thanked the host for the very enjoyable party	il remercia l hôte pour la très divertissante fête
maybe you d like to come with us	peut être aimeriez vous venir avec nous
it is pitch black outside	il fait noir comme du jais dehors
some people read the newspaper while watching television	il y a des gens qui lisent le journal en regardant la télévision
they said you were fired	ils ont dit que tu étais viré
do not ask questions just follow orders	ne pose pas de questions contente toi de suivre les ordres
his laziness is a bad sign for the future	sa paresse était un mauvais présage pour l avenir
when did they build that	quand ont ils construit cela
he survived the accident	il a survécu à l accident
i am managing	je m en sors
i will get something to drink for both of you	je vais vous chercher une boisson
this is tom s third trip to australia	ce est le troisième voyage de tom en australie
we were both hungry	nous avions tous les deux faim
i have been following you	je vous ai suivie
i cannot believe your mom let you go	je n arrive pas à croire que votre mère vous aie laissés vous en aller
i cannot believe i am talking to you about this	je n arrive pas à croire que je t en parle
we heard the boy playing the violin	on a entendu le garçon jouer du violon
tell me that was a joke	dites moi que c était une blague
i thought it was a fluke	je ai pensé que c était un coup de chance
i went too	j y suis allé aussi
tom is refusing to pay his bills	tom refuse de payer ses factures
knock on the door	frappez à la porte
you do not need to wait	il ne est pas nécessaire que vous serviez
he himself did it	il l a fait par lui même
i have no one to talk to	je n ai personne avec qui parler
he finally made a name for himself as a politician	finalement il s est fait un nom comme homme politique
i insist that he should go with us	j insiste pour qu il vienne avec nous
i closed the door so that they would not hear us	je ai fermé la porte pour ne pas qu ils nous entendent
it was wise of you to take your umbrella with you	c était judicieux de ta part de prendre un parapluie avec toi
why are they doing this	pourquoi font ils cela
there must be some way we can help tom	il doit y avoir un moyen pour nous d aider tom
i will go with you	je vais y aller avec toi
it is redundant	ce est redondant
she does not want him to buy an expensive engagement ring	elle ne veut pas qu il achète une bague de fiançailles onéreuse
what did i get	qu ai je obtenu
you are very insensitive	tu es très indélicat
you are going to have to stop doing that	vous allez devoir arrêter de faire cela
i am going to build a fire	je vais faire un feu
they know what happened	ils savent ce qui s est passé
tom closed his eyes	tom a fermé les yeux
wind the clock	remonte la pendule
what s your favorite subject	quel est votre sujet préféré
it is an outrage	ce est un outrage
my father is on the wagon	mon père a arrêté de boire
the failure is due to his carelessness	l échec est le résultat de son insouciance
the night is still young	la nuit ne fait que commencer
where do you work	où travaillez vous
what denominations would you like that in	en quelles coupures voudriez vous cela
i did not even notice you	je ne vous ai même pas remarquées
she was wearing long boots	elle portait des cuissardes
grandmother carried the table by herself	grand mère a porté la table toute seule
i know i got it right this time	je sais que je ai trouvé cette fois
you have been very kind to me	vous avez été très gentils avec moi
tom does not have enough friends	tom n a pas assez d amis
you do not have to come	vous n êtes pas obligées de venir
his accent suggests he is a foreigner	son accent suggère qu il est étranger
tom does not play golf	tom ne joue pas au golf
i am here on business	je suis ici pour affaires
tom has a tendency to exaggerate	tom a tendance à exagérer
did you kill anybody	avez vous tué qui que ce soit
that is the exactly the same idea as i have	ce est exactement la même idée que je ai
if blaming me makes you feel better go right ahead	si me le reprocher vous fait vous sentir mieux allez y
i worked really hard on this	j y ai vraiment travaillé dur
i did not want you to feel you were alone	je ne voulais pas que tu te sentes seule
where can i obtain a map of europe	où puis je obtenir une carte de l europe
i have never been sedated before	je n ai jamais été anesthésié auparavant
he treats me as an adult	il me traite en adulte
i can barely remember what my grandfather looked like	je peux à peine me souvenir à quoi mon grand père ressemblait
he has made up his mind to buy the car	il s est décidé à acheter la voiture
her communication skills could be improved	son aptitude à communiquer pourrait être améliorée
it is generally hard to adapt to living in a foreign culture	il est d ordinaire difficile de s adapter à la vie dans une culture étrangère
do not be so impatient	ne sois pas tellement impatient
what are you doing buying a house that expensive	que est ce qui te prend d acheter une maison aussi onéreuse
why did you have to go snooping around	pourquoi as tu eu besoin d aller fouiner
i thought we had an understanding	je pensais que nous nous étions entendus
did he do such things	a t il fait de telles choses
you need to be prepared	il vous faut être préparé
i have no desire to hurt you	je n ai aucun désir de vous faire du mal
i am not good at fishing	je ne suis pas un bon pêcheur
i am glad you liked my friends	je suis heureux que tu aimes mes amis
look at it	regardez le
you look very tired	vous avez l air très fatiguées
i believe in my abilities	je ai foi en mes aptitudes
the old man tends to exaggerate	le vieux a tendance à exagérer
young people are prone to fall into temptation	les jeunes gens sont propres à céder à la tentation
whenever i see you my heart tells me that i am in love	à chaque fois que je te vois mon cœur me dit que je suis amoureux
did you buy a new car	as tu acheté une voiture neuve
americans like football in the same way that japanese like baseball	les américains aiment le football américain de la même manière que les japonais aiment le base ball
tom does not often eat lunch with his wife	tom ne déjeune pas souvent avec sa femme
as far as i know tom is still married	pour autant que je sache tom est toujours marié
have they spotted you	vous ont elles repéré
did he stay very long	est il resté très longtemps
are you jealous	êtes vous jalouse
you have been following me have not you	vous m avez suivi ne est ce pas
compare the facts	compare les faits
you are very kind tom	tu es très gentil tom
he was stunned	il fut paralysé
i put some milk in my coffee	je mis un peu de lait dans mon café
we are all having lunch	nous sommes tous en train de dîner
all i can do is work in silence	tout ce que je peux faire ce est travailler en silence
what awful weather	quel temps de chien
i want to make sure you are who you say you are	je veux m assurer que tu es celle que tu déclares être
get a job so you can support your wife and kids	trouvez un boulot de façon à pouvoir subvenir aux besoins de votre femme et de vos enfants
she took her book	elle prit son livre
i just want to let you know that i will not let you down	je veux juste vous faire savoir que je ne vous laisserai pas tomber
a car drew up in front of my house	une voiture s arrêta devant ma maison
i do not want any more problems	je ne veux pas plus de problèmes
that s none of your concern	ça ne vous regarde en rien
it was cheaper than i thought	c était meilleur marché que je le pensais
sit wherever you like	asseyez vous où vous voulez
i cannot tell you what we ended up doing	je ne peux pas vous raconter ce que nous avons fini par faire
her car broke down on the way	sa voiture tomba en panne en chemin
i have bleeding gums	mes gencives saignent
he is my friend	ce est mon ami
have you ever been married	avez vous jamais été marié
many friends came to see me off	de nombreux amis vinrent me faire leurs adieux
i am tired	je suis fatigué
karaoke is good for reducing stress	le karaoké est bon pour diminuer le stress
i do not understand what you are saying	je ne comprends pas ce que tu dis
i answered your questions now let me ask you a few	je ai répondu à vos questions maintenant laissez moi vous en poser quelques unes
they were high school sweethearts	ils étaient amoureux au lycée
that bicycle is too small for you	ce vélo est trop petit pour vous
i will check with you later	je vérifierai avec vous plus tard
he called off the trip	il a annulé le voyage
i was not home	je ne me trouvais pas à mon domicile
you are free of all responsibility	tu es libérée de toute responsabilité
everybody started to leave	tout le monde commença à partir
a slightly lower interest rate could save thousands of dollars over the life of a home loan	un taux d intérêt un peu plus bas peut épargner des milliers de dollars au cours de la durée d un prêt immobilier
the money is on the table	l argent est sur la table
i will be there at two o clock without fail	j y serais à deux heures sans faute
we are all being manipulated	nous sommes tous en train d être manipulés
you should know it	vous devriez le savoir
i cannot tell you how happy i am that you have come to visit us	je ne peux pas vous dire combien je suis heureux que vous soyez venue nous rendre visite
he thinks that they are not sentient beings	il pense qu elles ne sont pas des êtres doués de sens
some water please	un peu d eau s il te plaît
you are sleepy	tu es endormie
who have you told so far	qui as tu mis au courant jusqu à maintenant
let us get started right away	commençons tout de suite
i am no friend of yours	je ne suis pas ton ami
i go to school by bus	je vais à l école en bus
i will explain it all later	j expliquerai tout plus tard
she treated him very well	elle l a très bien traité
do not disappoint me the way you did the other day	ne me déçois pas comme tu l as fait l autre jour
she brought him to our place to meet my parents	elle l emmena chez nous pour rencontrer mes parents
he is afraid that he will die	il craint de mourir
this is totally insane	ce est complètement dingue
he brought me coffee when i had asked for tea	il m a apporté un café alors que j avais demandé un thé
you should not get married	tu ne devrais pas te marier
i never could hide anything from you	je n ai jamais pu te cacher quoique ce soit
i do not have a passport	je ne dispose pas d un passeport
i found a nice restaurant	je ai trouvé un restaurant sympa
the machine s yours now	la machine est à vous maintenant
the negotiations failed	les négociations ont échoué
may i come and see you tomorrow	puis je venir te voir demain
you are very understanding	tu es fort compréhensif
how did you do this	comment l as tu fait
tom canceled his hotel reservation	tom a annulé sa réservation d hôtel
he is not here is he	il ne est pas là non
are you playing games with me	êtes vous en train de jouer avec moi
have you met her	tu l as rencontrée
tom lied to you did not he	tom t a menti ne est ce pas
she is hot	elle est chaude
loving is the essence of life	l amour est l essence de la vie
tom groaned loudly	tom gémit bruyamment
i am glad you could make it	je suis ravie que vous ayez pu venir
why do not you tell me what happened last night	pourquoi ne me dites vous pas ce qui s est passé hier soir
you are no longer welcome here	vous n êtes plus les bienvenues ici
i remember when i was about your age	je me souviens de lorsque j avais à peu près votre âge
i just want to find a cab	je veux simplement trouver un taxi
tom looks very anxious	tom a l air inquiet
he is a member of the committee	ce est un membre du comité
trust no one	ne vous fiez à personne
promise me you will not do that again	promets moi que tu ne feras plus ça
he pushed the emergency button	il appuya sur le bouton de l alarme
i do not like to go out when it is dark	je n aime pas sortir après la tombée de la nuit
will not you have some more tea	ne reprendrez vous pas un peu de thé
i am not happy with this	j en suis mécontent
tom s new wife s name is mary	la nouvelle femme de tom s appelle mary
i wanted to impress you	je voulais vous impressionner
i want you to stay right where you are	je veux que tu restes où tu es
where will you be	où serez vous
when did i tell you that	quand t ai je dit cela
i saw him enter the room	je l ai vu entrer dans la pièce
we have half a dozen eggs	nous avons une demie douzaine d œufs
he went fishing instead of playing tennis	il est allé pêcher au lieu de jouer au tennis
i hope that you will not make the same mistake as tom	j espère que tu ne feras pas la même erreur que tom
he never forgot his ambition to become a great politician	il n oublia jamais son ambition de devenir un grand politicien
barking dogs seldom bite	chien qui aboit ne mord pas
do you play any instruments	jouez vous d un instrument quelconque
i have no money to buy the book with	je n ai pas d argent pour acheter ce livre
the rhine flows between france and germany	le rhin coule entre la france et l allemagne
i remember hearing this tune before	je me rappelle avoir entendu cette chanson auparavant
in the mean time let us have a sit down	entretemps asseyons nous
the summer is over	l été est terminé
he studied economics at college	il a étudié l économie à la fac
you said you were happy	vous avez dit que vous étiez heureuse
i am sorry that i have made you so unhappy	je suis désolée de t avoir rendu si malheureux
he will object to your going abroad	il s opposera à ton départ à l étranger
i want to make you an offer	je veux te faire une proposition
wine helps digest food	le vin aide à la digestion
where will you be this time tomorrow	où seras tu demain à cette heure
i am surprised you did not know that	je suis surprise que vous ignoriez cela
how long did i sleep	combien de temps ai je dormi
i do not know what i was thinking	je ne sais pas à quoi je pensais
i do not mean to challenge your theory	je ne veux pas disputer ta théorie
he is a republican fundraiser	ce est un collecteur de fonds pour le parti républicain
are you about done	as tu bientôt fini
furthermore i still do not think this a huge cultural difference	qui plus est je ne pense quand même que cela ne constitue pas une différence culturelle énorme
let us pull an all nighter	faisons une nuit blanche
i only found out a couple days ago	je l ai seulement découvert il y a quelques jours
it is all downhill from here	ça ne va qu en empirant à partir d ici
the conversation moved on to other topics	la conversation se déplaça vers d autres sujets
when did you become a teacher	quand es tu devenu enseignant
let us go tell the others	allons le dire aux autres
you can download audio files by native speakers from our website	tu peux télécharger à partir de notre site web des données audio par des locuteurs natifs
she will be here tonight	elle sera là ce soir
it could not have come at a worse time	ça n aurait pu venir à pire moment
you will feel better	tu te sentiras mieux
i love hanging out with you	j adore être en ta compagnie
i meant it as a joke	ça se voulait une blague
know your enemy	il faut connaître son ennemi
how many sandwiches are there left	combien reste t il encore de sandwichs
i think that s an exaggeration	je pense que ce est un peu exagéré
i may be too old	je suis peut être trop vieux
would you mind turning down the radio	cela vous dérangerait il de baisser la radio
mary likes milk very much	mary aime beaucoup le lait
he banged his head	il le frappa à la tête
it is not new	ce ne est pas nouveau
she invited him in for a cup of coffee	elle l invita à entrer prendre une tasse de café
i am not naive	je ne suis pas naïf
i got sunburned	je ai pris un coup de soleil
did you ask tom why	as tu demandé pourquoi à tom
i apologize for my rudeness	je m excuse de mon impolitesse
it was a very good experience for him	c était une très bonne expérience pour lui
why did not you apply for the job	pourquoi n as tu pas postulé pour le travail
i think i can do it	je pense pouvoir réussir
do i have to pay you	me faut il te payer
she devoted herself to her children	elle se consacrait à ses enfants
between you and me i think our boss is stupid	de toi à moi je pense que notre patron est stupide
i have thirteen cats	je ai treize chats
stop being so curious	arrête d être aussi fouineuse
she blamed him for all her problems	elle l a rendu responsable de tous ses problèmes
is this a riddle	est ce une énigme
how s your old lady doing	comment va votre compagne
